"nom_segto_instituicao";"num_cnpj_instituicao";"nom_instituicao";"dat_hor_psst"
S1;0;BANCO DO BRASIL;1692154721.567836
S1;60746948;BRADESCO;1692154721.567867
S1;30306294;BTG PACTUAL;1692154721.567872
S1;360305;CAIXA ECONOMICA FEDERAL;1692154721.567875
S1;60872504;ITAU;1692154721.567879
S1;90400888;SANTANDER;1692154721.567882
S2;92702067;BANRISUL;1692154721.567886
S2;7237373;BANCO DO NORDESTE DO BRASIL S.A.;1692154721.567889
S2;33657248;BNDES;1692154721.567892
S2;33479023;CITIBANK;1692154721.567895
S2;33987793;CREDIT SUISSE;1692154721.567899
S2;58160789;SAFRA;1692154721.567903
S2;59588111;VOTORANTIM;1692154721.567906
S3;28195667;ABC-BRASIL;1692154721.56791
S3;60770336;ALFA;1692154721.567913
S3;655522;APE POUPEX;1692154721.567916
S3;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A;1692154721.567919
S3;2038232;BANCOOB;1692154721.567922
S3;28127603;BANESTES;1692154721.567926
S3;31597552;BANCO CLASSICO S.A.;1692154721.567929
S3;8357240;BANCO CSF S.A.;1692154721.567932
S3;4902979;BANCO DA AMAZONIA S.A.;1692154721.567935
S3;62232889;BANCO DAYCOVAL S.A;1692154721.567938
S3;38486817;BANCO DES. DE MG S.A.;1692154721.567941
S3;58616418;BANCO FIBRA S.A.;1692154721.567944
S3;1023570;BANCO RABOBANK INTL BRASIL S.A.;1692154721.567948
S3;60518222;BANCO SUMITOMO MITSUI BRASIL S.A.;1692154721.567951
S3;60498557;BANCO TOKYO-MITSUBISHI BM S.A.;1692154721.567954
S3;92816560;BD REGIONAL DO EXTREMO SUL;1692154721.567957
S3;61186680;BMG;1692154721.567961
S3;1522368;BNP PARIBAS;1692154721.567964
S3;62073200;BOFA MERRILL LYNCH;1692154721.567967
S3;208;BRB;1692154721.567971
S3;7450604;CCB;1692154721.567974
S3;87437687;COOPERATIVA CENTRAL DE CREDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;1692154721.567977
S3;80230774;COOPERATIVA CENTRAL DE CREDITO E INVESTIMENTO DOS ESTADOS DO PARANA, SAO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;1692154721.56798
S3;75647891;CREDIT AGRICOLE;1692154721.567983
S3;62331228;DEUTSCHE;1692154721.567987
S3;59274605;GMAC;1692154721.56799
S3;4332281;GOLDMAN SACHS;1692154721.567993
S3;34111187;HAITONG;1692154721.567996
S3;49336860;ING;1692154721.567999
S3;33172537;JP MORGAN CHASE;1692154721.568003
S3;17184037;MERCANTIL DO BRASIL;1692154721.568006
S3;60814191;MERCEDES-BENZ;1692154721.568009
S3;2801938;MORGAN STANLEY;1692154721.568012
S3;92894922;ORIGINAL;1692154721.568016
S3;59285411;PAN;1692154721.568019
S3;62144175;PINE;1692154721.568022
S3;1181521;SICREDI;1692154721.568025
S3;61533584;SOCIETE GENERALE;1692154721.568028
