"ano";"num_trimestre";"nom_categoria";"nom_tipo_instituicao";"num_cnpj_instituicao";"nom_instituicao";"vlr_ind_recl";"qtd_recl_reg_prec";"qtd_recl_reg_outr";"qtd_recl_nao_reg";"qtd_totl_recl";"qtd_totl_clie_css_scr";"qtd_clie_ccs";"qtd_clie_scr";"dat_hor_psst"
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;ABC-BRASIL;;4;7;3;14;50720;47485;6932;1692158046.450253
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;ABN AMRO;;0;0;1;1;0;0;;1692158046.450256
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13140088;ACESSO SOLUÇÕES DE PAGAMENTO S.A.;14.7;75;128;9;212;5098671;5098661;19396;1692158046.450259
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;AGIBANK;96.0;182;262;95;539;1895683;1540134;1176067;1692158046.450261
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;4;4;2;10;534795;133;534662;1692158046.450264
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;;10;3;2;15;30959;19706;16841;1692158046.450268
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;ALFA;;23;48;9;80;436746;267423;170417;1692158046.450272
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;32778350;AME DIGITAL BRASIL INSTITUICAO DE PAGAMENTO LTDA;;6;31;90;127;0;0;0;1692158046.450276
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;;ANDBANK;;0;2;2;4;4302;4302;29;1692158046.450279
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;19540550;ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.;;8;42;5;55;404447;404447;;1692158046.450282
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;54403563;BANCO ARBI S.A.;;14;8;0;22;84526;75882;10846;1692158046.450285
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;997185;BANCO B3 S.A.;;0;1;1;2;896;896;;1692158046.450288
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;2658435;BANCO CATERPILLAR S.A.;;1;0;0;1;3325;;3325;1692158046.450291
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33132044;BANCO CEDULA S.A.;;0;1;1;2;18010;2805;15425;1692158046.450294
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A.;;0;2;2;4;28887;1290;27778;1692158046.450298
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;8357240;BANCO CSF S.A.;9.98;77;72;43;192;7707988;;7707988;1692158046.450301
2022;3;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;4902979;BANCO DA AMAZONIA S.A.;;6;7;10;23;507169;507169;;1692158046.450305
