nom_instituicao;num_cnpj_instituicao;nom_segto_instituicao;max_qtd_totl_clie_ccs_scr;avg_ind_recl;sum_qtd_totl_recl;avg_ind_geral_instituicao;avg_ind_remu_bene_instituicao;dat_hor_psst;anomesdia
CAIXA ECONOMICA FEDERAL;360305;S1;148308904;36.2;16524;4.4;4.3;2023-08-15 23:58:41.860205;20230814
BTG PACTUAL;30306294;S1;766998;;133;4.0;4.4;2023-08-15 23:58:41.860205;20230814
JP MORGAN CHASE;33172537;S3;4029;;4;4.1;3.9;2023-08-15 23:58:41.860205;20230814
ITAU;60872504;S1;97712980;19.72;6878;4.5;4.6;2023-08-15 23:58:41.860205;20230814
SOCIETE GENERALE;61533584;S3;670;;3;3.7;3.3;2023-08-15 23:58:41.860205;20230814
BANCO FIBRA S.A.;58616418;S3;164195;;5;4.3;4.2;2023-08-15 23:58:41.860205;20230814
ORIGINAL;92894922;S3;47994411;79.22;2205;3.8;4.0;2023-08-15 23:58:41.860205;20230814
VOTORANTIM;59588111;S2;21892612;20.82;861;4.4;4.6;2023-08-15 23:58:41.860205;20230814
SANTANDER;90400888;S1;62028657;31.38;7235;3.9;4.0;2023-08-15 23:58:41.860205;20230814
BANCO DO NORDESTE DO BRASIL S.A.;7237373;S2;9384798;;98;4.5;4.2;2023-08-15 23:58:41.860205;20230814
CREDIT SUISSE;33987793;S2;5997;;4;3.8;3.6;2023-08-15 23:58:41.860205;20230814
BMG;61186680;S3;12267412;165.2;2398;4.1;4.2;2023-08-15 23:58:41.860205;20230814
DEUTSCHE;62331228;S3;2112;;1;3.9;3.6;2023-08-15 23:58:41.860205;20230814
PINE;62144175;S3;119595;;9;3.8;3.9;2023-08-15 23:58:41.860205;20230814
BOFA MERRILL LYNCH;62073200;S3;4928;;2;3.8;3.8;2023-08-15 23:58:41.860205;20230814
BRADESCO;60746948;S1;102814534;36.03;10693;4.2;4.3;2023-08-15 23:58:41.860205;20230814
BNP PARIBAS;1522368;S3;2456247;192.1;896;3.8;3.4;2023-08-15 23:58:41.860205;20230814
MERCEDES-BENZ;60814191;S3;20651;;11;4.1;4.0;2023-08-15 23:58:41.860205;20230814
PAN;59285411;S3;8907890;245.28;3953;4.4;4.6;2023-08-15 23:58:41.860205;20230814
BANRISUL;92702067;S2;5213189;37.68;855;4.2;4.1;2023-08-15 23:58:41.860205;20230814
CITIBANK;33479023;S2;18935;;25;3.9;3.8;2023-08-15 23:58:41.860205;20230814
BANCO SUMITOMO MITSUI BRASIL S.A.;60518222;S3;1180;;1;3.4;3.3;2023-08-15 23:58:41.860205;20230814
ALFA;60770336;S3;439630;;85;3.5;3.8;2023-08-15 23:58:41.860205;20230814
SICREDI;1181521;S3;7410928;;9;4.4;4.1;2023-08-15 23:58:41.860205;20230814
